Citations,Tectonic Setting,Location,Location Comment,Latitude (Min),Latitude (Max),Longitude (Min),Longitude (Max),Land or Sea,Elevation (Min),Elevation (Max),Sample Name,Rock Name,"Age (a, Min)","Age (a, Max)",Geol,Age,Eruption Day,Eruption Month,Eruption Year,Rock Texture,Rock Type,Drill Depth (Min),Drill Depth (Max),Alteration,Mineral,Material,Si,Ti,B,Al,Cr,Fe3+,Fe2+,Fetot(2+),Ca,Mg,Mn,Ni,K,Na,P,H2O,H2OP,H2OM,H2Otot,CO2,CO,F,Cl,Cl2,OH,CH4,SO2,SO3,SO4,S,LOI,Volatiles,O,Others,HE(CCM/G),HE(CCMSTP/G),HE3(CCMSTP/G),HE3(AT/G),HE4(CCM/G),HE4(CCMSTP/G),HE4(AT/G),HE4(MOLE/G),HE4(NCC/G),HE(NCC/G),Li,Be,B,C,CO2,F,Na,Al,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Nd143/Nd144,Nd143/Nd144 initial,e Nd,Sr87/Sr86,SR87_SR86_INI,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,OS184_OS188,OS186_OS188,OS187_OS186,OS187_OS188,RE187_OS186,RE187_OS188,HF176_HF177,HE3_HE4,HE3_HE4(R/R(A)),HE4_HE3,HE4_HE3(R/R(A)),K40_AR40,AR40_K40,UNIQUE_ID
[3185],CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / ADATARA / CHOSHIGATAKI FLOW / PACIFIC OCEAN,,37.62,37.62,140.28,140.28,SUBAERIAL,,,s 2-8 [3185],"BASALT, THOLEIITIC [3185]",,,,QUATERNARY [3185],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3185] ,265690.054,5334.126,,96588.3075,,22660.56,37699.05,,57390.41,18091.2,542.1206,,5146.93,19214.0963,654.6315,,6700,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10284-2-8
[4783][3185],CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / ADATARA / CHOSHIGATAKI FLOW / PACIFIC OCEAN,,37.62,37.62,140.28,140.28,SUBAERIAL,,,s 2-9 [4783],"BASALT, THOLEIITIC [4783]",,,,QUATERNARY [3185],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4783] ,265736.7975,5334.126,,100398.9147,,29514.68,30547.89,,57676.29,18694.24,929.3496,,4897.885,19139.9106,872.842,,3800,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,160,28.2,,,19.1,7.5,,66,,,,,,12.4,262,30,75.6,6.5,,,,,,,,,,,,,153,7.46,18.61,,13.35,3.99,1.12,4.38,,4.63,,3.01,,2.72,0.34,,,,,,,,,,,,,,,,,,0.705673,,,,,,,,,,,,,,,,,,,,,10284-2-9
[4783][3185],CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / ADATARA / SENNYODAIRA-SHITA FLOW / PACIFIC OCEAN,,37.62,37.62,140.28,140.28,SUBAERIAL,,,s 2-5 [4783],"BASALT, THOLEIITIC [4783]",,,,QUATERNARY [3185],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4783] ,254845.562,5873.532,,98440.686,,31333.12,42596.04,,59677.45,21950.656,1394.0244,,3320.6,17136.8967,829.1999,,6800,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,,188,20.9,,,25.1,7.1,,91,,,,,,7.1,267,24,55.9,4.1,,,,,,,,,,,,0.14,127,5.1,14.05,,9.89,3.3,0.99,3.63,,3.89,,2.49,,2.19,0.29,,,,,,,,,,,,,,,,,,0.705814,,,,,,,,,,,,,,,,,,,,,10285-2-5
[4783][3185],CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / ADATARA / SENNYODAIRA-SHITA FLOW / PACIFIC OCEAN,,37.62,37.62,140.28,140.28,SUBAERIAL,,,s 2-6 [4783],"BASALT, THOLEIITIC [4783]",,,,QUATERNARY [3185],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4783] ,255312.997,6113.268,,95476.8804,,33081.62,40341.87,,55389.25,21709.44,1316.5786,,3071.555,19288.282,829.1999,,9100,6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4,,195,27.4,,,26,4,,111,,,,,,7.8,272,26,58.1,4.6,,,,,,,,,,,,0.28,138,6.09,14.66,,11.99,3.57,1.15,3.97,,4.3,,2.82,,2.43,0.29,,,,,,,,,,,,,,,,,,0.70573,,,,,,,,,,,,,,,,,,,,,10285-2-6
[4783][3185],CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / ADATARA / AKAGIDAIRA FLOW / PACIFIC OCEAN,,37.62,37.62,140.28,140.28,SUBAERIAL,,,s 2-3 [4783],"BASALT, THOLEIITIC [4783]",,,,QUATERNARY [3185],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4783] ,252134.439,5753.664,,101563.2669,,30423.9,38087.7,,62464.78,26292.544,1084.2412,,2822.51,19065.7249,785.5578,,2800,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,189,51.4,,,27,17.3,,78,,,,,,6.2,301,25,63.7,5,,,,,,,,,,,,0.09,124,5.59,14.53,,10.53,3.28,1,3.56,,3.94,,2.47,,2.26,0.28,,,,,,,,,,,,,,,,,,0.705789,,,,,,,,,,,,,,,,,,,,,10287-2-3
[4783][3185],CONVERGENT MARGIN,HONSHU ARC / NORTHEASTERN HONSHU ARC / HONSHU / ADATARA / AKAGIDAIRA FLOW / PACIFIC OCEAN,,37.62,37.62,140.28,140.28,SUBAERIAL,,,s 2-4 [4783],"BASALT, THOLEIITIC [4783]",,,,QUATERNARY [3185],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [4783] ,253490.0005,5753.664,,96905.8581,,29654.56,39797.76,,61535.67,25448.288,1239.1328,,2407.435,18546.425,785.5578,,6100,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,,179,44.4,,,26.4,13.4,,86,,,,,,6,288,25,61.9,4.8,,,,,,,,,,,,,124,5.72,15.1,,10.95,3.51,1.12,3.58,,3.92,,2.67,,2.19,0.29,,,,,,,,,,,,,,,,,,0.705721,,,,,,,,,,,,,,,,,,,,,10287-2-4
[274],OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KILAUEA / UWEKAHUNA FORMATION / PACIFIC OCEAN,"UWEKAHUNA LACCOLITH, CALDERA, LAVA FLOW, IMMEDIATELY OVERLYING NORTH BODY",19.4,19.4,-155.27,-155.27,SUBAERIAL,,,s 9 [274],"BASALT, THOLEIITIC [274]",,,,,,,,,VOLCANIC ROCK,,,EXTENSIVELY ALTERED,,WHOLE_ROCK [274] ,235493.753,13904.688,,68749.7049,,81340.22,8161.65,,70183.54,52826.304,1316.5786,,3320.6,15504.8113,916.4841,,1900,500,,0,,200,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10445
[2174],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS,,40.33,40.42,-92.63,-92.68,SUBAERIAL,,,s KB-81A [2174],"BASALT, THOLEIITIC [2174]",1100000000 [2174],1100000000 [2174],MESO [2174],PROTEROZOIC [2174],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2174] ,228295.254,11267.592,,82827.7815,136.84,,0,100193.97,63250.95,37750.304,1471.4702,,5811.05,18843.1678,916.4841,,,,,,,,,,,,,,,,12400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,148,,,,137,,,,,,,,18,222,28,133,10,,,,,,,,,,,,,356,,,,34.17,8,,,,,,,,,,,,,,,,,,,,,,,,0.512089,,,,,,,,,,,,,,,,,,,,,,,,104464
[2174],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS,,40.33,40.42,-92.63,-92.68,SUBAERIAL,,,s KC-26B [2174],"BASALT, THOLEIITIC [2174]",1100000000 [2174],1100000000 [2174],MESO [2174],PROTEROZOIC [2174],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2174] ,232034.734,16541.784,,70390.383,68.42,,0,114574.02,54960.43,27860.448,1548.916,,15191.745,19362.4677,1527.4735,,,,,,,,,,,,,,,,12700,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,324,92,,,50,52,,,,,,,,60,175,43,214,17,,,,,,,,,,,,,355,25.83,57.74,,33.03,7.69,2.1,,1.26,,,,,3.85,0.57,5.86,1.14,,,,,,,,,,,3.69,1.07,0.512125,,,,,,,,,,,,,,,,,,,,,,,,104466
[2174],CONTINENTAL FLOOD BASALT,MIDCONTINENT RIFT SYSTEM - KEWEENAWAN / ST. CROIX FALLS - RAYLORS FALLS REGION / CHENGWATANA VOLCANICS,,40.33,40.42,-92.63,-92.68,SUBAERIAL,,,s KC-28C [2174],"BASALT, THOLEIITIC [2174]",1100000000 [2174],1100000000 [2174],MESO [2174],PROTEROZOIC [2174],,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [2174] ,230959.6335,16302.048,,71343.0348,68.42,,0,110609.79,62250.37,26774.976,1626.3618,,11040.995,16914.3396,1440.1893,,,,,,,,,,,,,,,,17300,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,306,101,,,49,55,,,,,,,,45,206,42,212,16,,,,,,,,,,,,,283,24.67,55.53,,31.41,7.38,2.02,,1.22,,,,,3.85,0.56,5.8,1.14,,,,,,,,,,,3.57,1.08,0.512143,,,,,,,,,,,,,,,,,,,,,,,,104467
[3325][3397][3326],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / MARTINIQUE / CARIBBEAN SEA / ATLANTIC OCEAN,OLD ARC,14.5,14.5,-61,-61,SUBAERIAL,,,s M8332 [3325],"BASALT [3325] / BASALT, THOLEIITIC [3326]",,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [3325] ,286163.707,,,,,,,,,14111.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,8220,,,3717,,,,,,3,,,,,,,,20,212,38,139.2,2.97,,,,,,,,,,,,,243,9.68,23.53,,15.98,4.324,1.081,5.08,,5.82,,3.69,,3.92,,,,,,,,,,,,,,,,0.513015,,,0.704158,,19.202,,15.683,,38.824,,,,,,,,,,,,,,,10511-M8332
[3325][3326],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / MARTINIQUE / CARIBBEAN SEA / ATLANTIC OCEAN,INTERMEDIATE SUBMARINE ARC,14.5,14.5,-61,-61,SUBAQUATIC,,,s 21903 [3325],"BASALT [3325] / BASALT, THOLEIITIC [3326]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3325] ,266531.437,,,,,,,,,15317.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10870,,,9112,,,,,,,,,,,,,,66,162,40,139,3.94,,,,,,,,,,,,,306,12.6,28.4,,18.1,5,1.36,5.7,,6.42,,4,,3.83,0.59,,,,,,,,,,,,,,,0.512735,,,0.70651,,,,,,,,,,,,,,,,,,,,,10512-21903
[3325][3397][3326][4590],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / MARTINIQUE / CARIBBEAN SEA / ATLANTIC OCEAN,INTERMEDIATE SUBMARINE ARC,14.5,14.5,-61,-61,SUBAQUATIC,,,s M8301 [3325],"BASALT [3325] / BASALT, THOLEIITIC [3326]",,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [3325] ,239513.694,,,,,,,,,27679.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,,,,,,,7640,,,11690,,,,,,14,,,,,,,,45,171,50,161.3,4.27,,,,,,,,,,,,0.74,228,13.7,32.68,4.75,21.38,6.021,1.477,7.33,,7.58,,4.82,,4.5,0.77,4.77,0.293,,,,,,,,,12.26,,4.28,1.57,0.512814,,,0.705142,,19.635,,15.812,,39.489,,,,,,,,0.283077,,,,,,,10512-M8301
[3325][3326],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / MARTINIQUE / CARIBBEAN SEA / ATLANTIC OCEAN,INTERMEDIATE SUBMARINE ARC,14.5,14.5,-61,-61,SUBAQUATIC,,,s M8310 [3325],"BASALT [3325] / BASALT, THOLEIITIC [3326]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3325] ,233857.7305,,,,,,,,,23699.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7220,,,12650,,,,,,21,,,,,,,,45,166,50,180.3,4.01,,,,,,,,,,,,,194,15.36,36.66,,23.91,6.692,1.666,8.11,,8.69,,5.27,,5,0.76,,,,,,,,,,,,,,,0.512669,,,0.704985,,,,,,,,,,,,,,,,,,,,,10512-M8310
[3325][3397][3326],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / MARTINIQUE / CARIBBEAN SEA / ATLANTIC OCEAN,INTERMEDIATE SUBMARINE ARC,14.5,14.5,-61,-61,SUBAQUATIC,,,s M8311 [3325],"BASALT [3325] / BASALT, THOLEIITIC [3326]",,,,,,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [3325] ,279198.9255,,,,,,,,,12724.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5,,,,,,,,,7140,,,7374,,,,,,2,,,,,,,,33,157,47,131.8,2.81,,,,,,,,,,,,,223,10.98,26.22,,17.68,5.182,1.54,6.66,,7.44,,4.81,,4.68,0.72,,,,,,,,,,,,,,,0.512859,,,0.70477,,,,,,,,,,,,,,,,,,,,,10512-M8311
[3325][3326],CONVERGENT MARGIN,LESSER ANTILLES / LESSER ANTILLES / MARTINIQUE / CARIBBEAN SEA / ATLANTIC OCEAN,INTERMEDIATE SUBMARINE ARC,14.5,14.5,-61,-61,SUBAQUATIC,,,s M8320 [3325],"BASALT [3325] / BASALT, THOLEIITIC [3326]",,,,,,,,,VOLCANIC ROCK,,,,,WHOLE_ROCK [3325] ,270317.6605,,,,,,,,,14593.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12370,,,8513,,,,,,2,,,,,,,,73,157,41,141.8,4.52,,,,,,,,,,,,,272,13.45,30.93,,19.03,5.215,1.446,6.25,,6.98,,4.34,,4.16,0.63,,,,,,,,,,,,,,,0.512715,,,0.70572,,,,,,,,,,,,,,,,,,,,,10512-M8320
[3658],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / PACIFIC OCEAN,"CHUGOKU DISTRICT, NAGAWASE",34,36,132,136,SUBAERIAL,,,s TK-2 [3658],"BASALT, THOLEIITIC [3658]",,,,CENOZOIC [3658],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [3658] ,222779.521,8810.298,,98440.686,,65743.6,,,74829.09,37267.872,1006.7954,,5562.005,22404.0814,1745.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,,,100,,,33.7,45,,,,,,,,15.2,740,16.1,110,,,,,,,,,,,,,,340,17.5,34.2,,17.8,3.75,1.17,,0.53,,,,,1.77,,2.4,0.8,,,,,,,,,,,2.12,,0.5119,,,0.70537,,,,,,,,,,,,,,,,,,,,,105514
[3658],CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / HONSHU / PACIFIC OCEAN,"CHUGOKU DISTRICT, KUSHIYAMA",34,36,132,136,SUBAERIAL,,,s TK-7 [3658],"BASALT, THOLEIITIC [3658]",,,,CENOZOIC [3658],,,,,VOLCANIC ROCK,,,FRESH,,WHOLE_ROCK [3658] ,239607.181,7431.816,,89919.7449,,69730.18,,,61035.38,40644.896,1161.687,,8218.485,23665.2383,2182.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4,,,160,,,35,110,,,,,,,,13.4,530,31.6,220,,,,,,,,,,,,,,260,23.5,54.9,,24.2,5.95,1.59,,0.89,,,,,3.46,,4.1,0.5,,,,,,,,,,,2.32,,0.5118,,,0.70499,,,,,,,,,,,,,,,,,,,,,105515
